

1/48  能量脉冲




1/68888  红牛饮料
1/68888  技术の内裤
1/188888  符文药剂
1/608888  悟道石[未解封]

1/588888  猎人的宽刃刀
1/1588888  游击者的军刀
1/2588888  附魔·战士
1/888888  灭世者的死亡之帽


1/18888  扎昆洞穴入场券
1/8888  深渊之地入场券


1/1888  创世石碑
1/18  神火·灵能の箱
1/50  神火·灵能の盒




1/8888  冰の书
1/8888  火の书



1/88  藏宝盒
1/88  藏宝箱
1/188  绝世盒
1/188  绝世箱


1/1  五行石
1/50  五行石
1/1  五行石

1/1  神祈之泪
1/1  称号卷
1/1  时装羽毛
1/1  技能强化卷
1/1  火腿肠
1/1  云顶结晶


#CHILD 1/15 RANDOM
(
1/1  云顶结晶
)

1/1  云顶结晶
1/1  云顶结晶


#CHILD 1/140 RANDOM
(
1/1000  神祈之泪
1/1000  称号卷
1/888  时装羽毛
1/3888  技能强化卷
)





1/1  1000元宝
1/1  1000元宝
1/1  1000元宝
1/1  1000元宝
1/1  1000元宝
1/1  1000元宝
1/5  200元宝
1/20  500元宝
1/100  1000元宝
1/1  3000元宝
1/2000  5000元宝
1/1  1w元宝
1/1  1w元宝
1/1  1w元宝
1/1  1w元宝
1/1  1w元宝
1/1  1w元宝
1/10  1w元宝
1/1  1000元宝
1/1  5000元宝
1/1  5000元宝
1/1  5000元宝
1/1  5000元宝
1/1  5000元宝
1/1  5000元宝
1/888  5w元宝





1/1  1灵符
1/20  2灵符
1/50  5灵符
1/100  10灵符
1/10000  100灵符

1/1  10灵符
1/1  10灵符

1/1  经验卷(1%) 
1/10  经验卷(2%)
1/100  经验卷(5%) 
1/1000  经验卷(10%)




#CHILD 1/3 RANDOM
(
1/50  切割★★
1/50  二星勋章
1/50  麻醉枪+2
1/50  绷带+2
1/50  盾牌★★
)











1/15  切割★★★★
1/30  切割★★★★★
1/60  切割★★★★★★
1/120  切割★★★★★★★
1/180  切割★★★★★★★★
1/240  切割★★★★★★★★★
1/600  切割★★★★★★★★★★





1/15  麻醉枪+4
1/30  麻醉枪+5
1/60  麻醉枪+6
1/120  麻醉枪+7
1/180  麻醉枪+8
1/240  麻醉枪+9
1/600  麻醉枪+10






1/15  绷带+4
1/30  绷带+5
1/60  绷带+6
1/120  绷带+7
1/180  绷带+8
1/240  绷带+9
1/600  绷带+10






1/15  四星勋章
1/30  五星勋章
1/60  六星勋章
1/120  七星勋章
1/180  八星勋章
1/240  九星勋章
1/600  十星勋章






1/15  盾牌★★★★
1/30  盾牌★★★★★
1/60  盾牌★★★★★★
1/120  盾牌★★★★★★★
1/180  盾牌★★★★★★★★
1/240  盾牌★★★★★★★★★
1/600  盾牌★★★★★★★★★★
1/1200  ★盾牌★
1/5000  ★★神盾★★★
1/10000  ★★★罗生★★★
1/28000  ★★★★无敌★★★★




1/10  大师剑
1/20  王者剑
1/40  宗师剑
1/60  绝世剑
1/80  惊天の之剑
1/120  憾世の之剑
1/240  雷霆の之剑
1/320  战神の冰剑
1/480  火龙の神斩
1/640  枯木寸草★风
