1/3000	装备强化石


1/1888	生命之玺

1/3333	封天画卷信物
1/1588	渡劫丹
1/3333	秘境卷轴
1/2222	魔法盾书页

1/1000	炼体晶石
1/120000	炼体精魄

1/66666	魔法盾
1/66666	十步一杀
1/66666	护体神盾	

1/52222	七星石·威
1/52222	阳光石·圣
1/52222	风灵石·天

#CHILD	1/5	RANDOM
(
1/30	红双喜
1/60	大前门
1/80	黄鹤楼
1/100	玉溪
)

1/60	红双喜
1/60	大前门
1/80	黄鹤楼
1/100	玉溪

1/1300	宽窄
1/1600	煊赫门
1/2000	苏烟
1/2500	中华
1/4000	利群
1/6000	和天下

1/2	波罗丁的印章

1/208	万年魂环·A
1/288	十万年魂环·S
1/388	百万年魂环·SS
1/888	神级魂环·SSS

1/288	扎昆洞穴入场券
1/288	深渊之地入场券

#CHILD	1/1	RANDOM
(
1/68888	灭世者的死亡之帽
1/68888	冰の书
1/68888	火の书
1/68888	符文药剂
1/68888	技术の内裤
1/68888	冰の书
1/68888	火の书
1/68888	符文药剂
1/68888	冰の书
1/68888	火の书
1/68888	技术の内裤
1/68888	符文药剂
1/68888	冰の书
1/68888	火の书
1/68888	技术の内裤
1/68888	·铁血战旗¤星云刃·
1/68888	·兽武修真¤软金甲·
1/388	炽热¤鬼影
1/388	★★★地★★★
1/388	冰封◆◆千里◆◆
1/388	魔王镜
1/388	巅峰◆腕
1/388	巅峰◆戒
1/388	幽魂◆◆万象◆◆
1/388	西域¤弥辰
1/388	★★★天启★★★
1/388	残梦¤影杀
1/68888	残梦¤影杀
1/68888	炽热¤鬼影
1/68888	技术の内裤
1/68888	西域¤弥辰
1/68888	冰封◆◆千里◆◆
1/68888	幽魂◆◆万象◆◆
1/68888	魔王镜
1/68888	符文药剂
1/68888	冰の书
1/68888	火の书
1/68888	冰の书
1/68888	火の书
1/68888	技术の内裤
1/68888	巅峰◆腕
1/68888	巅峰◆戒
1/68888	★★★地★★★
1/68888	★★★天启★★★
1/488	【屠ヶ龙】
1/488	【天ヶ魔】
1/68888	【利齿】
1/68888	【沃玛号角】
1/68888	技术の内裤
1/68888	【祖玛头盔】
1/68888	【血魔头颅】
1/68888	【金刚头颅】
1/68888	技术の内裤
1/68888	【沃玛头盔】
1/68888	【祖玛头像】
1/68888	【蚩尤】
1/68888	【牛角】
1/68888	【牛皮腰带】
1/488	【屠ヶ龙】
1/488	【天ヶ魔】
1/68888	【利齿】
1/68888	【沃玛号角】
1/68888	技术の内裤
1/68888	【祖玛头盔】
1/68888	【血魔头颅】
1/68888	【金刚头颅】
1/68888	技术の内裤
1/68888	【沃玛头盔】
1/68888	【祖玛头像】
1/68888	【蚩尤】
1/68888	【牛角】
1/68888	【牛皮腰带】
1/68888	●●青龙●●
1/68888	●●白虎●●
1/68888	●●玄武●●
1/68888	●●朱雀●●
1/68888	●●貔貅●●
1/68888	●●饕餮●●
1/68888	●●梼杌●●
1/68888	●●穷奇●●
1/68888	●●混沌●●
1/68888	●●黑洞●●
1/68888	●●十方俱灭●●
1/68888	●●女娲石●●
1/68888	●●盘古斧●●
1/68888	●●鸿蒙●●
1/288	の沃玛教皇的号角
