1/14444	强化+10卷轴

1/45555	强化+12卷轴

1/66666	强化+13卷轴

1/66666	魔法盾
1/66666	十步一杀
1/66666	护体神盾	

1/22222	七星石·威
1/22222	阳光石·圣
1/22222	风灵石·天

#CHILD	1/1	RANDOM
(
1/100	红双喜	
1/100	大前门
1/100	黄鹤楼
1/100	玉溪
1/100	宽窄
1/100	煊赫门
1/100	苏烟
1/500	中华	
1/1000	利群
1/2000	和天下
)

1/18	光之心脏
1/18	炎之内核
1/18	风之流动
1/18	冰之水晶
1/18	守护之印记

1/188	十年魂环·D
1/388	百年魂环·C
1/788	千年魂环·B
1/588	万年魂环·A
1/688	十万年魂环·S
1/888	百万年魂环·SS
1/888	神级魂环·SSS	

#CHILD	1/1	RANDOM
(
1/488	·如意金箍棒·
1/488	·定海の神针·
1/208	“牟尼定光珠”
1/208	神之信徒称号卷
1/18	神圣之书
1/208	“魔罗伞”
1/208	“聚宝金盆”
1/208	“乾坤尺”
1/488	·紫府金剑·
1/208	“后天袋”
1/488	·如意金箍棒·
1/488	·定海の神针·
1/208	“牟尼定光珠”
1/208	神之信徒称号卷
1/18	神圣之书
1/208	“魔罗伞”
1/208	“聚宝金盆”
1/208	“乾坤尺”
1/488	·紫府金剑·
1/208	“后天袋”
1/288	恶魔铃铛
1/288	魔灵
1/288	电锯
1/388	咒
1/288	灵体
1/288	白雾
1/288	无轩之散魄图纸
1/288	强烈之痕迹
1/288	刑天の
1/288	「嫦娥-奔月」
1/288	「共工-触山」
1/288	「后羿-射日」
1/288	「女娲-补天」
1/288	空城泪-旧王愁称号卷
1/588	封神の
1/588	创世の
)

1/888	技术の内裤
1/10	符文药剂
1/888	悟道石[未解封]

1/888	猎人的宽刃刀
1/1888	游击者的军刀
1/2888	附魔·战士
1/888	灭世者的死亡之帽

1/1888	创世石碑
1/1	神火·灵能の箱
1/1	神火·灵能の盒

1/188	冰の书
1/188	火の书

1/8	藏宝盒
1/8	藏宝箱
1/8	绝世盒
1/68	绝世箱

1/1	五行石
1/1	五行石
1/1	五行石
1/1	五行石
1/1	五行石
1/1	五行石
1/50	五行石

1/1	神祈之泪
1/1	称号卷
1/1	时装羽毛
1/1	技能强化卷
1/1	火腿肠
1/1	云顶结晶
1/1	云顶结晶
1/1	神祈之泪
1/1	称号卷
1/1	时装羽毛
1/1	技能强化卷
1/1	火腿肠
1/1	云顶结晶
1/1	云顶结晶

#CHILD	1/1	RANDOM
(
1/1	云顶结晶
)

#CHILD	1/1	RANDOM
(
1/1000	神祈之泪
1/1000	称号卷
1/888	时装羽毛
1/3888	技能强化卷
)

1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/5	2000元宝
1/20	5000元宝
1/100	1000元宝
1/1000	3000元宝
1/2000	5000元宝
1/5000	1w元宝
1/1	1w元宝
1/1	1000元宝
1/1	1000元宝
1/1	5000元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	1w元宝
1/1	5w元宝
1/1	5w元宝
1/1	5w元宝
1/1	5w元宝

1/1	1灵符
1/1	1灵符
1/1	1灵符
1/1	1灵符
1/1	1灵符
1/10	2灵符
1/50	5灵符
1/100	10灵符
1/5000	100灵符
1/1	100灵符
1/1	100灵符
1/1	100灵符
1/1	100灵符
1/1	100灵符

1/1	经验卷(1%)
1/10	经验卷(2%)
1/100	经验卷(5%)
1/1000	经验卷(10%)
1/1	经验卷(1%)
1/1	经验卷(1%)
1/1	经验卷(1%)
1/1	经验卷(10%)
1/1	经验卷(1%)
1/1	经验卷(1%)
1/1	经验卷(1%)
1/1	经验卷(10%)

#CHILD	1/3	RANDOM
(
1/50	切割★★
1/50	二星勋章
1/50	麻醉枪+2
1/50	绷带+2
1/50	盾牌★★
)

1/15	切割★★★★
1/30	切割★★★★★
1/60	切割★★★★★★
1/120	切割★★★★★★★
1/180	切割★★★★★★★★
1/240	切割★★★★★★★★★
1/600	切割★★★★★★★★★★

1/15	麻醉枪+4
1/30	麻醉枪+5
1/60	麻醉枪+6
1/120	麻醉枪+7
